trial,original_action,q_margin,obstacles,saliency_values,actions_after_removal,changed,faithful_top_salient,faithful_least_salient
101,0,0.05009651184082031,"[(np.int64(2), np.int64(4)), (np.int64(0), np.int64(4)), (np.int64(1), np.int64(1))]","[1.0781335830688477, 1.1224299669265747, 1.2357879877090454]","[0, 0, 3]","[False, False, True]",True,False
102,0,0.06169319152832031,"[(np.int64(1), np.int64(4)), (np.int64(3), np.int64(2)), (np.int64(2), np.int64(1))]","[1.0166215896606445, 1.2811790704727173, 1.122193455696106]","[0, 0, 3]","[False, False, True]",False,False
103,3,0.030492782592773438,"[(np.int64(2), np.int64(4)), (np.int64(4), np.int64(1)), (np.int64(0), np.int64(2))]","[0.9019891023635864, 0.9344190955162048, 1.176934838294983]","[3, 3, 3]","[False, False, False]",False,False
104,0,0.17692852020263672,"[(np.int64(2), np.int64(1)), (np.int64(3), np.int64(2)), (np.int64(3), np.int64(0))]","[1.1522706747055054, 1.2592295408248901, 1.0339393615722656]","[0, 0, 0]","[False, False, False]",False,False
105,0,0.02400684356689453,"[(np.int64(1), np.int64(3)), (np.int64(3), np.int64(0)), (np.int64(4), np.int64(3))]","[1.1673593521118164, 0.7684741020202637, 1.1303436756134033]","[0, 3, 0]","[False, True, False]",False,True
106,3,0.14868545532226562,"[(np.int64(3), np.int64(0)), (np.int64(2), np.int64(1)), (np.int64(1), np.int64(2))]","[0.7537168860435486, 0.9111810326576233, 0.9045085906982422]","[3, 0, 0]","[False, True, True]",True,False
107,3,0.07436752319335938,"[(np.int64(3), np.int64(3)), (np.int64(0), np.int64(4)), (np.int64(3), np.int64(2))]","[1.2423107624053955, 0.8857020139694214, 0.9184318780899048]","[3, 3, 3]","[False, False, False]",False,False
108,0,1.4092464447021484,"[(np.int64(1), np.int64(3)), (np.int64(2), np.int64(2)), (np.int64(1), np.int64(0))]","[0.9321935772895813, 0.7722395062446594, 1.7655771970748901]","[0, 0, 0]","[False, False, False]",False,False
109,0,0.03598785400390625,"[(np.int64(0), np.int64(3)), (np.int64(2), np.int64(2)), (np.int64(1), np.int64(3))]","[1.173150658607483, 0.9286891222000122, 1.291479468345642]","[0, 3, 0]","[False, True, False]",False,True
110,0,1.491969108581543,"[(np.int64(1), np.int64(0)), (np.int64(1), np.int64(3)), (np.int64(0), np.int64(4))]","[1.6576367616653442, 0.9132546782493591, 0.7750362157821655]","[3, 0, 0]","[True, False, False]",True,False
111,0,0.026482582092285156,"[(np.int64(0), np.int64(3)), (np.int64(3), np.int64(1)), (np.int64(2), np.int64(3))]","[0.9463676810264587, 1.0258063077926636, 1.069153070449829]","[0, 3, 0]","[False, True, False]",False,False
112,3,0.015985488891601562,"[(np.int64(0), np.int64(2)), (np.int64(4), np.int64(2)), (np.int64(4), np.int64(1))]","[1.1229400634765625, 1.1248797178268433, 1.0158270597457886]","[3, 3, 3]","[False, False, False]",False,False
113,3,0.09531021118164062,"[(np.int64(3), np.int64(2)), (np.int64(1), np.int64(2)), (np.int64(4), np.int64(0))]","[1.045868992805481, 1.1207468509674072, 1.023621916770935]","[3, 3, 3]","[False, False, False]",False,False
114,0,0.13361835479736328,"[(np.int64(1), np.int64(3)), (np.int64(2), np.int64(4)), (np.int64(2), np.int64(0))]","[1.3669562339782715, 1.230088233947754, 1.0282280445098877]","[0, 0, 3]","[False, False, True]",False,True
115,0,1.484400749206543,"[(np.int64(1), np.int64(0)), (np.int64(3), np.int64(4)), (np.int64(1), np.int64(4))]","[1.5241442918777466, 1.1669868230819702, 0.6964740753173828]","[3, 0, 0]","[True, False, False]",True,False
116,3,0.05885028839111328,"[(np.int64(4), np.int64(2)), (np.int64(1), np.int64(3)), (np.int64(4), np.int64(3))]","[1.0414693355560303, 1.1624348163604736, 1.0740132331848145]","[3, 3, 3]","[False, False, False]",False,False
117,3,1.2608051300048828,"[(np.int64(1), np.int64(2)), (np.int64(0), np.int64(1)), (np.int64(1), np.int64(3))]","[0.9672308564186096, 1.4931775331497192, 0.977881669998169]","[3, 3, 3]","[False, False, False]",False,False
118,3,0.10370731353759766,"[(np.int64(4), np.int64(0)), (np.int64(1), np.int64(2)), (np.int64(1), np.int64(1))]","[0.8562254905700684, 1.0882092714309692, 1.1659780740737915]","[3, 0, 3]","[False, True, False]",False,False
119,0,0.05077648162841797,"[(np.int64(0), np.int64(4)), (np.int64(3), np.int64(0)), (np.int64(0), np.int64(3))]","[1.132481575012207, 1.000393271446228, 1.173001766204834]","[0, 3, 0]","[False, True, False]",False,True
120,0,0.1982736587524414,"[(np.int64(2), np.int64(1)), (np.int64(2), np.int64(2)), (np.int64(4), np.int64(3))]","[1.0069888830184937, 1.0003550052642822, 1.5271718502044678]","[0, 0, 0]","[False, False, False]",False,False
121,0,0.026998519897460938,"[(np.int64(2), np.int64(4)), (np.int64(1), np.int64(3)), (np.int64(3), np.int64(1))]","[1.23508620262146, 1.4164702892303467, 0.9393949508666992]","[3, 0, 3]","[True, False, True]",False,True
122,0,0.2087249755859375,"[(np.int64(4), np.int64(0)), (np.int64(3), np.int64(1)), (np.int64(2), np.int64(2))]","[1.3375484943389893, 1.2144014835357666, 1.121740698814392]","[0, 0, 0]","[False, False, False]",False,False
123,0,0.13794422149658203,"[(np.int64(3), np.int64(0)), (np.int64(0), np.int64(4)), (np.int64(2), np.int64(0))]","[1.0978010892868042, 1.0676497220993042, 1.0485204458236694]","[0, 0, 0]","[False, False, False]",False,False
124,0,0.03572845458984375,"[(np.int64(0), np.int64(2)), (np.int64(3), np.int64(4)), (np.int64(3), np.int64(1))]","[1.3274635076522827, 1.5190696716308594, 1.0741792917251587]","[3, 0, 3]","[True, False, True]",False,True
125,0,0.08745956420898438,"[(np.int64(3), np.int64(2)), (np.int64(2), np.int64(0)), (np.int64(1), np.int64(4))]","[1.1815494298934937, 1.0969266891479492, 1.1513780355453491]","[0, 3, 0]","[False, True, False]",False,True
126,3,1.4383621215820312,"[(np.int64(0), np.int64(1)), (np.int64(1), np.int64(2)), (np.int64(0), np.int64(3))]","[1.5455559492111206, 0.7032569646835327, 0.6885711550712585]","[3, 3, 3]","[False, False, False]",False,False
127,0,0.1691417694091797,"[(np.int64(2), np.int64(0)), (np.int64(2), np.int64(2)), (np.int64(2), np.int64(3))]","[1.0791070461273193, 1.0572434663772583, 1.2005536556243896]","[3, 0, 0]","[True, False, False]",False,False
128,3,1.302896499633789,"[(np.int64(1), np.int64(3)), (np.int64(0), np.int64(1)), (np.int64(2), np.int64(1))]","[1.1282325983047485, 1.6527068614959717, 0.9267645478248596]","[3, 3, 3]","[False, False, False]",False,False
129,3,0.986607551574707,"[(np.int64(3), np.int64(2)), (np.int64(3), np.int64(4)), (np.int64(0), np.int64(1))]","[0.791771650314331, 1.1781902313232422, 1.2887663841247559]","[3, 3, 3]","[False, False, False]",False,False
130,0,0.042586326599121094,"[(np.int64(2), np.int64(4)), (np.int64(3), np.int64(2)), (np.int64(2), np.int64(1))]","[1.0396097898483276, 1.136948823928833, 0.9287168979644775]","[0, 3, 3]","[False, True, True]",True,True
131,3,0.15075206756591797,"[(np.int64(3), np.int64(3)), (np.int64(4), np.int64(0)), (np.int64(2), np.int64(3))]","[1.122092366218567, 0.8792979121208191, 1.3396097421646118]","[3, 3, 3]","[False, False, False]",False,False
132,0,0.10531044006347656,"[(np.int64(0), np.int64(4)), (np.int64(4), np.int64(0)), (np.int64(4), np.int64(1))]","[1.033193826675415, 1.0988138914108276, 1.1681536436080933]","[0, 0, 3]","[False, False, True]",True,False
133,0,1.402226448059082,"[(np.int64(1), np.int64(0)), (np.int64(3), np.int64(0)), (np.int64(3), np.int64(2))]","[1.5815435647964478, 1.007080316543579, 1.072885513305664]","[0, 0, 0]","[False, False, False]",False,False
134,0,0.07799434661865234,"[(np.int64(1), np.int64(1)), (np.int64(2), np.int64(2)), (np.int64(4), np.int64(2))]","[1.258366346359253, 0.963739812374115, 1.1609256267547607]","[0, 0, 0]","[False, False, False]",False,False
135,3,0.20804786682128906,"[(np.int64(3), np.int64(1)), (np.int64(1), np.int64(1)), (np.int64(3), np.int64(4))]","[1.1479748487472534, 1.0694531202316284, 1.3348780870437622]","[3, 3, 0]","[False, False, True]",True,False
136,0,0.1333484649658203,"[(np.int64(2), np.int64(3)), (np.int64(4), np.int64(1)), (np.int64(2), np.int64(1))]","[1.1792930364608765, 0.9107860326766968, 0.936174750328064]","[0, 3, 3]","[False, True, True]",False,True
137,3,0.059253692626953125,"[(np.int64(4), np.int64(1)), (np.int64(2), np.int64(4)), (np.int64(3), np.int64(2))]","[0.9314374327659607, 0.9220455288887024, 0.9853014945983887]","[3, 3, 3]","[False, False, False]",False,False
138,0,0.13220691680908203,"[(np.int64(0), np.int64(3)), (np.int64(2), np.int64(0)), (np.int64(4), np.int64(3))]","[0.8229200839996338, 1.0286349058151245, 1.300820231437683]","[0, 3, 0]","[False, True, False]",False,False
139,3,0.9626388549804688,"[(np.int64(1), np.int64(1)), (np.int64(2), np.int64(2)), (np.int64(0), np.int64(2))]","[1.2941023111343384, 0.9082021117210388, 1.1661933660507202]","[0, 3, 0]","[True, False, True]",True,False
140,0,0.0056018829345703125,"[(np.int64(2), np.int64(4)), (np.int64(0), np.int64(3)), (np.int64(1), np.int64(3))]","[1.1636639833450317, 0.9461743831634521, 1.5410690307617188]","[3, 3, 3]","[True, True, True]",True,True
141,0,0.20088958740234375,"[(np.int64(1), np.int64(1)), (np.int64(3), np.int64(0)), (np.int64(4), np.int64(3))]","[1.1383506059646606, 0.8536840081214905, 1.1032872200012207]","[0, 0, 0]","[False, False, False]",False,False
142,0,0.05009651184082031,"[(np.int64(0), np.int64(4)), (np.int64(1), np.int64(1)), (np.int64(2), np.int64(4))]","[1.1224299669265747, 1.2357879877090454, 1.0781335830688477]","[0, 3, 0]","[False, True, False]",True,False
143,0,0.1337881088256836,"[(np.int64(4), np.int64(1)), (np.int64(2), np.int64(2)), (np.int64(1), np.int64(4))]","[1.0619398355484009, 1.121153473854065, 1.0739264488220215]","[0, 3, 0]","[False, True, False]",True,False
144,0,1.5003995895385742,"[(np.int64(1), np.int64(3)), (np.int64(1), np.int64(0)), (np.int64(0), np.int64(2))]","[0.965488076210022, 1.5392524003982544, 0.9070588946342468]","[0, 3, 0]","[False, True, False]",True,False
145,0,0.041652679443359375,"[(np.int64(4), np.int64(3)), (np.int64(0), np.int64(3)), (np.int64(2), np.int64(3))]","[1.2714203596115112, 0.8726468086242676, 1.279123306274414]","[3, 0, 3]","[True, False, True]",True,False
146,0,1.7299003601074219,"[(np.int64(4), np.int64(2)), (np.int64(2), np.int64(1)), (np.int64(1), np.int64(0))]","[0.5899079442024231, 0.8203783631324768, 1.6747279167175293]","[0, 0, 0]","[False, False, False]",False,False
147,0,0.05707359313964844,"[(np.int64(3), np.int64(2)), (np.int64(1), np.int64(2)), (np.int64(3), np.int64(0))]","[1.1524488925933838, 1.0907865762710571, 1.0585808753967285]","[0, 0, 3]","[False, False, True]",False,True
148,0,0.04167366027832031,"[(np.int64(3), np.int64(1)), (np.int64(0), np.int64(2)), (np.int64(1), np.int64(3))]","[1.1422970294952393, 1.542523741722107, 1.2461282014846802]","[3, 3, 0]","[True, True, False]",True,True
149,0,0.02044677734375,"[(np.int64(1), np.int64(1)), (np.int64(1), np.int64(2)), (np.int64(4), np.int64(1))]","[1.3063764572143555, 0.9341301918029785, 1.0254943370819092]","[3, 0, 3]","[True, False, True]",True,False
