seed,trial,original_action,q_margin,saliency_values,changed,faithful_top_salient,faithful_least_salient,faithful_random
0,67,0,0.00675201416015625,"[0.879315197467804, 0.9636704325675964, 1.0903750658035278]","[False, True, True]",True,False,False
0,68,3,0.13644027709960938,"[1.2730329036712646, 1.1261452436447144, 1.2679831981658936]","[False, False, False]",False,False,False
0,69,3,0.12842464447021484,"[1.2118288278579712, 0.791659414768219, 1.0311191082000732]","[False, False, False]",False,False,False
0,70,3,0.01783466339111328,"[1.070222020149231, 1.3819129467010498, 1.078343391418457]","[False, True, True]",True,False,True
0,71,3,0.026389122009277344,"[1.2361600399017334, 1.0201040506362915, 0.965449333190918]","[True, False, False]",True,False,False
0,72,3,1.3996410369873047,"[1.5973503589630127, 1.2453726530075073, 1.0394247770309448]","[False, False, False]",False,False,False
0,73,0,0.046166419982910156,"[0.8098506331443787, 1.1659154891967773, 1.0741231441497803]","[False, False, False]",False,False,False
0,74,0,0.055251121520996094,"[1.004123330116272, 1.0548778772354126, 0.9001073241233826]","[False, False, False]",False,False,False
0,75,0,0.010620594024658203,"[2.3224270343780518, 1.6090399026870728, 1.71223783493042]","[True, False, True]",True,False,False
0,76,3,0.010516166687011719,"[1.2926281690597534, 1.0094645023345947, 1.0649030208587646]","[False, False, False]",False,False,False
0,77,0,0.056054115295410156,"[1.1448094844818115, 0.8483079671859741, 1.2821863889694214]","[False, False, False]",False,False,False
0,78,3,0.11908340454101562,"[1.0501974821090698, 0.9018010497093201, 1.1410365104675293]","[True, False, False]",False,False,True
0,79,3,1.2282657623291016,"[0.8113712072372437, 1.108810305595398, 1.571689486503601]","[False, False, True]",True,False,False
0,80,3,0.054413795471191406,"[1.118435263633728, 1.162308692932129, 0.8642877340316772]","[True, True, True]",True,True,True
0,81,3,0.1585216522216797,"[1.0790542364120483, 0.9600500464439392, 1.1809325218200684]","[False, False, False]",False,False,False
0,82,0,1.3046817779541016,"[1.8573077917099, 0.9858434796333313, 1.052258014678955]","[False, False, False]",False,False,False
0,83,0,1.4162445068359375,"[1.069178581237793, 1.6047625541687012, 0.9541546106338501]","[False, True, False]",True,False,False
0,84,3,1.4209671020507812,"[0.7792283892631531, 1.6060638427734375, 1.0953645706176758]","[False, True, False]",True,False,False
0,85,3,0.2358083724975586,"[1.0897579193115234, 0.7203004956245422, 1.2443017959594727]","[False, False, False]",False,False,False
0,86,0,0.9676113128662109,"[0.891422688961029, 1.7366260290145874, 1.019511103630066]","[False, True, False]",True,False,False
0,87,3,0.06261157989501953,"[1.1762279272079468, 1.1756185293197632, 1.0480973720550537]","[False, False, True]",False,True,True
